OTU ID	Type
0	TcI
2	TcVI
3	TcIV
4	TcIV
5	TcIV
7	TcIV
8	TcIII
9	TcIII
12	TcI
13	TcI
14	TcI
16	TcIV
17	TcI
18	TcIV
19	TcI
20	TcIV
22	TcI
23	TcIV
24	TcI
25	TcIII
26	TcI
27	TcI
30	TcI
31	TcIV
32	TcI
33	TcI
34	TcIII
35	TcI
36	TcI
37	TcII
38	TcII
40	TcI
41	TcI
43	TcIII
45	TcII
48	TcI
50	TcIV
51	TcI
53	TcI
54	TcI
55	TcII
56	TcII
57	TcII
58	TcI
60	TcI
61	TcII
62	TcI
63	TcIV
64	TcVI
65	TcI
66	TcI
67	TcIV
68	TcI
69	TcIV
70	TcI
71	TcIV
74	TcI
75	TcIV
76	TcIV
77	TcIV
78	TcIII
79	TcVI
81	TcI
82	TcIV
83	TcIV
85	TcI
86	TcI
87	TcI
88	TcIV
90	TcI
91	TcI
94	TcI
95	TcI
96	TcI
97	TcI
98	TcI
99	TcII
100	TcIV
101	TcI
103	TcIV
105	TcI
106	TcIV
107	TcI
108	TcIII
110	TcIV
111	TcI
112	TcIV
113	TcI
114	TcIII
115	TcI
116	TcI
118	TcIV
119	TcI
121	TcI
123	TcI
124	TcII
125	TcI
126	TcI
127	TcIV
128	TcIII
130	TcI
131	TcI
133	TcI
134	TcII
135	TcI
136	TcI
137	TcIV
139	TcI
140	TcIII
141	TcI
142	TcI
143	TcII
145	TcI
146	TcIV
148	TcI
149	TcII
150	TcI
151	TcI
152	TcIV
153	TcI
154	TcI
155	TcIV
156	TcII
157	TcI
159	TcI
160	TcI
161	TcI
163	TcI
164	TcI
165	TcIII
166	TcI
168	TcI
169	TcI
170	TcIV
171	TcI
172	TcI
173	TcI
174	TcI
175	TcI
176	TcI
177	TcVI
178	TcI
179	TcII
180	TcIV
181	TcIV
182	TcIV
183	TcI
184	TcIV
185	TcI
187	TcI
189	TcI
190	TcI
191	TcIV
192	TcV
193	TcI
194	TcI
195	TcVI
196	TcI
197	TcI
198	TcI
199	TcIV
200	TcIV
201	TcI
202	TcVI
205	TcIV
206	TcVI
207	TcIII
208	TcI
209	TcI
211	TcI
214	TcI
215	TcIII
217	TcI
218	TcIV
219	TcI
220	TcII
221	TcI
223	TcI
224	TcIV
226	TcIII
227	TcIV
228	TcI
229	TcI
230	TcI
231	TcIV
232	TcIII
233	TcI
235	TcVI
236	TcV
237	TcIV
238	TcIV
239	TcIII
240	TcI
241	TcI
242	TcIV
247	TcIII
249	TcIV
251	TcIV
252	TcI
253	TcIV
254	TcIV
256	TcI
257	TcI
258	TcI
259	TcII
261	TcI
262	TcIV
264	TcIII
265	TcIII
266	TcII
267	TcI
268	TcI
269	TcIV
271	TcI
272	TcII
273	TcIV
274	TcI
275	TcI
277	TcI
279	TcIV
280	TcIV
282	TcI
283	TcI
284	TcIV
285	TcI
286	TcI
289	TcIV
292	TcI
293	TcI
294	TcVI
297	TcI
298	TcI
299	TcI
300	TcIII
301	TcIV
304	TcI
306	TcI
307	TcII
308	TcII
310	TcVI
311	TcII
313	TcI
314	TcI
315	TcI
316	TcIV
317	TcI
318	TcIV
320	TcI
321	TcIV
322	TcI
323	TcIV
324	TcI
325	TcIV
327	TcI
328	TcI
334	TcI
335	TcIV
336	TcIV
338	TcI
339	TcIV
340	TcI
341	TcI
342	TcI
343	TcIV
344	TcI
345	TcI
348	TcI
350	TcI
351	TcI
352	TcI
353	TcI
355	TcI
356	TcI
357	TcI
359	TcIII
361	TcI
362	TcIII
363	TcIV
364	TcI
366	TcI
367	TcI
368	TcIV
370	TcI
372	TcI
373	TcIV
374	TcII
375	TcII
376	TcII
377	TcI
378	TcIV
379	TcIV
381	TcII
382	TcI
383	TcIV
384	TcIII
385	TcI
386	TcVI
387	TcI
388	TcVI
389	TcIV
390	TcI
393	TcI
394	TcI
395	TcI
398	TcI
399	TcI
400	TcII
401	TcI
402	TcI
403	TcI
404	TcI
406	TcII
407	TcI
408	TcIV
409	TcI
410	TcI
414	TcIV
420	TcIV
421	TcIII
422	TcI
424	TcI
425	TcII
429	TcVI
430	TcI
431	TcIII
432	TcVI
433	TcI
434	TcI
435	TcI
436	TcIII
437	TcI
438	TcI
439	TcIV
440	TcII
441	TcIV
442	TcI
443	TcII
444	TcI
445	TcIV
446	TcIV
447	TcIV
449	TcIII
450	TcI
451	TcI
453	TcI
454	TcIII
455	TcIV
457	TcI
458	TcI
459	TcVI
460	TcI
461	TcI
463	TcI
465	TcI
466	TcIV
467	TcVI
470	TcIV
472	TcI
474	TcI
475	TcI
476	TcI
477	TcI
478	TcVI
480	TcI
481	TcIII
482	TcVI
483	TcI
484	TcVI
486	TcI
487	TcI
488	TcI
489	TcI
491	TcI
492	TcI
493	TcI
494	TcI
495	TcI
497	TcI
499	TcI
500	TcI
501	TcIV
502	TcII
503	TcIV
505	TcIV
506	TcI
507	TcI
508	TcIII
511	TcI
512	TcIV
513	TcI
514	TcI
516	TcI
517	TcI
518	TcI
519	TcI
521	TcI
522	TcI
523	TcI
525	TcIII
526	TcIII
527	TcI
528	TcVI
530	TcIII
531	TcIII
532	TcI
533	TcVI
535	TcIII
536	TcIV
537	TcI
538	TcI
539	TcVI
540	TcI
541	TcI
542	TcI
543	TcI
544	TcI
545	TcI
546	TcI
547	TcI
549	TcI
550	TcI
552	TcI
553	TcI
554	TcIII
555	TcI
556	TcI
557	TcII
558	TcII
561	TcI
564	TcI
565	TcIV
566	TcIV
567	TcI
568	TcII
569	TcI
570	TcII
571	TcIV
572	TcI
573	TcI
575	TcI
576	TcI
578	TcVI
579	TcIV
580	TcI
581	TcI
582	TcIV
583	TcI
584	TcIV
586	TcVI
587	TcI
588	TcI
589	TcI
592	TcI
593	TcI
594	TcIII
595	TcIII
596	TcI
597	TcIV
599	TcIV
600	TcI
601	TcII
602	TcI
603	TcI
604	TcIV
605	TcI
606	TcII
608	TcI
609	TcII
611	TcII
612	TcIII
613	TcI
614	TcI
616	TcI
617	TcIV
618	TcIV
619	TcIII
620	TcIII
622	TcIII
624	TcVI
625	TcII
626	TcI
627	TcIII
628	TcII
629	TcI
630	TcII
631	TcI
632	TcI
633	TcIV
635	TcI
637	TcI
639	TcI
640	TcIII
641	TcIV
643	TcI
644	TcI
646	TcII
648	TcII
649	TcII
650	TcI
651	TcI
652	TcI
653	TcII
654	TcI
655	TcII
656	TcIII
657	TcIII
658	TcIV
659	TcI
660	TcI
661	TcV
663	TcIV
664	TcIV
666	TcI
669	TcI
670	TcIV
671	TcIV
672	TcI
673	TcI
674	TcIV
675	TcI
676	TcI
677	TcI
678	TcIII
679	TcI
680	TcIII
681	TcIV
682	TcII
683	TcI
684	TcIII
686	TcI
687	TcI
688	TcI
689	TcI
690	TcIII
691	TcI
694	TcI
695	TcI
697	TcI
698	TcIV
700	TcII
701	TcI
703	TcIV
704	TcI
708	TcI
709	TcV
710	TcI
711	TcI
712	TcI
714	TcI
715	TcIII
718	TcIV
719	TcI
721	TcI
722	TcI
723	TcIII
724	TcI
725	TcI
727	TcIII
730	TcII
734	TcII
735	TcI
736	TcI
737	TcI
738	TcI
739	TcI
740	TcIII
741	TcI
742	TcII
743	TcIV
745	TcI
746	TcI
747	TcIV
748	TcIII
749	TcI
750	TcI
752	TcIII
754	TcI
756	TcIII
757	TcIII
760	TcIV
761	TcIV
762	TcI
763	TcI
764	TcIV
765	TcI
766	TcIV
767	TcI
768	TcIII
769	TcI
770	TcIII
771	TcIII
772	TcI
773	TcI
775	TcI
776	TcI
777	TcII
778	TcI
779	TcIII
780	TcI
781	TcI
782	TcI
783	TcI
784	TcI
785	TcIV
786	TcII
787	TcI
789	TcI
790	TcI
791	TcIII
793	TcI
794	TcI
795	TcIII
796	TcIV
797	TcIII
798	TcI
799	TcIII
801	TcIV
803	TcI
804	TcI
806	TcIV
809	TcIV
810	TcV
811	TcII
812	TcI
813	TcI
814	TcI
815	TcI
816	TcIII
817	TcI
818	TcI
819	TcIV
820	TcI
822	TcIV
823	TcI
824	TcI
826	TcI
827	TcI
828	TcI
829	TcIII
832	TcI
833	TcVI
834	TcI
836	TcIII
837	TcI
838	TcIV
839	TcII
840	TcI
841	TcII
842	TcI
843	TcII
844	TcI
845	TcI
846	TcI
847	TcI
848	TcI
849	TcI
850	TcI
851	TcI
852	TcII
854	TcIV
855	TcI
856	TcIV
857	TcI
860	TcIII
861	TcIII
862	TcI
864	TcI
865	TcII
866	TcII
868	TcIV
869	TcIV
870	TcIV
872	TcI
873	TcI
874	TcI
876	TcI
877	TcI
880	TcIV
881	TcI
882	TcI
883	TcI
884	TcI
885	TcIV
886	TcI
887	TcI
888	TcI
889	TcI
891	TcI
892	TcI
893	TcI
895	TcI
896	TcI
897	TcI
898	TcI
901	TcI
902	TcI
903	TcIII
905	TcI
906	TcI
908	TcI
909	TcI
910	TcIII
911	TcI
912	TcI
913	TcI
915	TcIV
916	TcI
918	TcIV
919	TcI
920	TcI
921	TcVI
923	TcI
924	TcVI
925	TcV
926	TcIV
928	TcI
929	TcIV
930	TcI
932	TcI
933	TcVI
934	TcI
935	TcI
936	TcIV
937	TcII
938	TcIV
939	TcI
941	TcI
942	TcI
943	TcI
944	TcIV
946	TcI
948	TcI
950	TcIV
951	TcI
952	TcI
953	TcI
954	TcVI
955	TcI
956	TcI
957	TcIV
958	TcI
959	TcI
960	TcI
961	TcII
962	TcII
963	TcII
964	TcI
965	TcI
966	TcIII
968	TcI
969	TcI
970	TcIII
971	TcIII
975	TcI
978	TcI
979	TcIV
982	TcI
983	TcIV
984	TcI
985	TcI
986	TcI
987	TcI
988	TcI
989	TcI
991	TcI
992	TcII
995	TcIII
996	TcI
997	TcI
998	TcI
999	TcI
1000	TcIV
1001	TcIV
1002	TcI
1003	TcI
1004	TcI
1005	TcI
1006	TcIV
1007	TcI
1008	TcII
1009	TcI
1010	TcI
1012	TcIV
1014	TcIII
1015	TcI
1017	TcI
1018	TcI
1020	TcI
1023	TcIV
1024	TcIII
1026	TcI
1027	TcI
1028	TcIII
1029	TcIV
1030	TcI
1031	TcII
1032	TcIV
1033	TcIV
1034	TcI
1036	TcI
1037	TcIV
1038	TcI
1039	TcVI
1040	TcI
1041	TcIV
1042	TcI
1043	TcVI
1044	TcII
1045	TcI
1046	TcI
1047	TcVI
1049	TcIV
1050	TcI
1051	TcIV
1052	TcI
1053	TcI
1054	TcIII
1055	TcIV
1056	TcI
1058	TcI
1059	TcI
1060	TcI
1063	TcVI
1064	TcI
1065	TcI
1066	TcI
1067	TcI
1069	TcIII
1070	TcI
1071	TcIII
1072	TcIV
1073	TcI
1074	TcI
1075	TcIII
1076	TcI
1077	TcIV
1078	TcI
1079	TcIV
1080	TcIII
1081	TcI
1082	TcI
1083	TcI
1084	TcIII
1085	TcI
1087	TcIII
1088	TcIII
1089	TcI
1090	TcI
1091	TcI
1093	TcI
1094	TcI
1095	TcI
1096	TcI
1100	TcI
1101	TcI
1102	TcI
1103	TcIV
1105	TcI
1106	TcIV
1108	TcI
1109	TcV
1110	TcI
1111	TcI
1112	TcI
1113	TcII
1114	TcI
1116	TcI
1117	TcI
1118	TcIV
1119	TcI
1121	TcI
1122	TcI
1123	TcI
1124	TcI
1125	TcI
1126	TcII
1127	TcI
1129	TcIV
1130	TcI
1132	TcIII
1133	TcI
1135	TcIII
1136	TcI
1137	TcI
1138	TcI
1139	TcI
1142	TcI
1144	TcI
1145	TcII
1146	TcII
1147	TcII
1148	TcI
1149	TcII
1150	TcI
1153	TcII
1155	TcII
1156	TcI
1158	TcIV
1159	TcI
1160	TcIV
1161	TcI
1162	TcI
1163	TcI
1164	TcI
1165	TcIV
1166	TcIV
1167	TcIV
1168	TcIII
1169	TcI
1170	TcI
1171	TcIV
1172	TcI
1173	TcI
1174	TcI
1175	TcI
1176	TcI
1177	TcII
1178	TcI
1179	TcII
1180	TcI
1181	TcI
1182	TcIV
1185	TcIV
1186	TcIV
1188	TcIV
1189	TcI
1191	TcI
1192	TcIV
1195	TcI
1196	TcIV
1197	TcI
1199	TcI
1200	TcI
1201	TcIV
1204	TcII
1205	TcII
1206	TcI
1207	TcI
1208	TcI
1209	TcI
1210	TcIV
1211	TcI
1212	TcIV
1214	TcIV
1216	TcIV
1217	TcI
1218	TcI
1219	TcI
1221	TcIV
1223	TcIV
1224	TcIII
1226	TcIV
1227	TcI
1228	TcVI
1229	TcI
1230	TcI
1231	TcIV
1232	TcIV
1233	TcI
1234	TcI
1236	TcI
1237	TcV
1238	TcIII
1240	TcIII
1243	TcI
1244	TcIV
1245	TcI
1246	TcI
1248	TcVI
1250	TcII
1251	TcII
1252	TcII
1253	TcII
1254	TcI
1255	TcI
1256	TcI
1257	TcV
1258	TcI
1259	TcI
1260	TcII
1262	TcIV
1263	TcI
1264	TcI
1265	TcIII
1266	TcVI
1267	TcI
1268	TcI
1269	TcIII
1270	TcIII
1271	TcIV
1273	TcI
1274	TcIV
1275	TcI
1277	TcI
1278	TcI
1279	TcI
1282	TcIV
1283	TcI
1284	TcIV
1286	TcI
1287	TcI
1288	TcIV
1289	TcI
1290	TcIV
1291	TcI
1294	TcI
1295	TcI
1297	TcIV
1299	TcIII
1302	TcIII
1303	TcIV
1304	TcI
1305	TcI
1306	TcI
1307	TcI
1308	TcIV
1309	TcI
1310	TcI
1311	TcIV
1312	TcI
1313	TcI
1315	TcI
1316	TcII
1318	TcIV
1320	TcIV
1321	TcIV
1322	TcIV
1323	TcI
1325	TcIV
1326	TcI
1327	TcI
1329	TcI
1331	TcI
1335	TcI
1337	TcIV
1339	TcVI
1340	TcIV
1342	TcI
1343	TcI
1344	TcI
1345	TcI
1347	TcIV
1349	TcII
1350	TcV
1351	TcII
1352	TcI
1353	TcI
1354	TcI
1355	TcI
1356	TcI
1357	TcI
1358	TcIV
1359	TcIII
1360	TcII
1361	TcII
1363	TcI
1365	TcIV
1366	TcI
1367	TcV
1368	TcIV
1369	TcI
1370	TcI
1371	TcI
1372	TcI
1373	TcI
1374	TcIII
1376	TcI
1377	TcIII
1378	TcI
1379	TcI
1380	TcIII
1381	TcI
1382	TcI
1383	TcVI
1384	TcI
1386	TcII
1388	TcI
1390	TcI
1391	TcII
1392	TcI
1394	TcI
1395	TcV
1396	TcV
1399	TcIV
1400	TcI
1401	TcI
1403	TcVI
1405	TcI
1406	TcI
1407	TcI
1409	TcIV
1410	TcIV
1411	TcI
1412	TcI
1413	TcI
1414	TcIV
1417	TcIV
1418	TcIII
1419	TcI
1420	TcI
1421	TcI
1422	TcI
1423	TcI
1425	TcII
1426	TcIII
1427	TcII
1428	TcIV
1429	TcII
1430	TcI
1432	TcI
1433	TcIV
1435	TcIII
1437	TcVI
1438	TcI
1439	TcI
1440	TcIV
1441	TcIV
1442	TcI
1443	TcI
1444	TcIV
1445	TcI
1446	TcI
1447	TcI
1448	TcIV
1449	TcI
1450	TcI
1451	TcIII
1455	TcI
1456	TcIV
1457	TcI
1458	TcI
1459	TcIV
1461	TcIV
1463	TcI
1465	TcVI
1466	TcI
1468	TcIII
1469	TcI
1470	TcIV
1471	TcI
1472	TcI
1474	TcI
1475	TcI
1476	TcIV
1477	TcI
1478	TcI
1479	TcII
1480	TcI
1481	TcIV
1482	TcIV
1483	TcI
1484	TcIII
1485	TcI
1487	TcI
1488	TcI
1489	TcI
1490	TcI
1492	TcIV
1495	TcI
1497	TcIV
1498	TcIV
1499	TcV
1500	TcI
1501	TcI
1502	TcI
1504	TcIV
1505	TcVI
1506	TcI
1507	TcI
1508	TcI
1510	TcI
1511	TcII
1512	TcII
1513	TcI
1514	TcIV
1518	TcIII
1519	TcI
1520	TcI
1521	TcIV
1522	TcI
1523	TcI
1524	TcI
1525	TcI
1527	TcI
1529	TcI
1530	TcIV
1531	TcI
1532	TcI
1534	TcII
1535	TcI
1536	TcIV
1537	TcI
1538	TcIV
1539	TcIV
1540	TcVI
1541	TcI
1544	TcI
1545	TcI
1546	TcI
1549	TcIV
1551	TcI
1552	TcI
1554	TcI
1556	TcI
1558	TcI
1559	TcII
1560	TcI
1561	TcI
1562	TcI
1563	TcI
1564	TcIV
1565	TcI
1566	TcI
1567	TcIV
1568	TcI
1569	TcIV
1572	TcII
1574	TcI
1575	TcI
1576	TcIV
1577	TcIV
1578	TcIV
1579	TcIII
1581	TcI
1582	TcVI
1584	TcI
1585	TcII
1588	TcI
1589	TcV
1590	TcI
1591	TcI
1592	TcI
1593	TcIV
1594	TcI
1595	TcIV
