#OTU ID	Type
6	TcI
9	TcI
30	TcV
40	TcI
45	TcI
46	TcI
48	TcV
51	TcV
63	TcI
67	TcI
68	TcII
84	TcIV
87	TcIII
91	TcIV
93	TcIV
98	TcI
102	TcI
105	TcV
114	TcIV
118	TcIV
120	TcI
129	TcI
132	TcI
136	TcI
142	TcII
146	TcI
153	TcI
155	TcIV
167	TcI
170	TcI
180	TcI
184	TcVI
190	TcI
195	TcI
202	TcVI
204	TcIII
210	TcI
217	TcIII
222	TcIV
224	TcIV
226	TcIV
234	TcI
245	TcI
272	TcI
277	TcI
280	TcI
290	TcI
300	TcI
305	TcVI
308	TcIV
317	TcI
323	TcII
327	TcI
331	TcI
332	TcI
334	TcI
336	TcI
344	TcIII
345	TcVI
346	TcI
350	TcI
355	TcI
366	TcV
376	TcI
404	TcI
417	TcI
427	TcIV
432	TcI
435	TcI
454	TcI
456	TcI
459	TcI
461	TcI
468	TcI
469	TcV
470	TcV
481	TcI
482	TcI
483	TcII
500	TcI
506	TcV
508	TcIV
511	TcI
515	TcI
518	TcI
519	TcI
520	TcI
529	TcI
530	TcI
533	TcI
534	TcI
536	TcII
537	TcII
544	TcI
548	TcI
550	TcIV
552	TcI
556	TcI
560	TcI
564	TcII
570	TcI
574	TcII
580	TcI
582	TcI
588	TcI
589	TcI
594	TcI
598	TcV
599	TcI
603	TcI
604	TcI
605	TcI
617	TcI
621	TcIV
622	TcVI
623	TcI
626	TcI
628	TcI
631	TcV
632	TcI
644	TcV
645	TcVI
647	TcI
649	TcVI
657	TcI
660	TcV
664	TcI
668	TcIV
672	TcI
678	TcI
680	TcI
683	TcI
685	TcV
687	TcII
689	TcI
694	TcII
695	TcI
697	TcIV
698	TcI
705	TcIII
712	TcI
715	TcI
719	TcI
741	TcII
747	TcIII
748	TcIV
759	TcI
761	TcI
766	TcII
770	TcII
777	TcI
781	TcI
789	TcI
807	TcI
809	TcI
813	TcIV
818	TcIV
819	TcIV
823	TcVI
825	TcVI
827	TcI
828	TcIV
835	TcI
839	TcI
847	TcI
854	TcI
857	TcIII
861	TcIII
862	TcIII
873	TcI
879	TcIV
884	TcIV
890	TcV
893	TcIV
894	TcI
898	TcI
916	TcIV
930	TcIV
933	TcIV
948	TcV
958	TcI
961	TcI
964	TcIV
965	TcI
977	TcI
983	TcI
985	TcIV
989	TcI
993	TcI
1009	TcI
1016	TcI
1019	TcI
1021	TcV
1026	TcIV
1034	TcII
1038	TcIV
1041	TcI
1055	TcI
1066	TcI
1070	TcI
1071	TcI
1080	TcV
1084	TcIV
1087	TcIV
1093	TcI
1101	TcI
1102	TcI
1110	TcIV
1113	TcI
1114	TcI
1125	TcVI
1126	TcI
1128	TcIII
1131	TcIII
1133	TcI
1148	TcV
1149	TcI
1158	TcV
1160	TcIV
1162	TcI
1169	TcI
1175	TcI
1178	TcV
1180	TcIV
1184	TcIII
1208	TcV
1212	TcI
1215	TcI
1216	TcI
1218	TcIII
1225	TcV
1227	TcIV
1229	TcI
1237	TcIII
1240	TcI
1255	TcI
1261	TcI
1263	TcI
1265	TcI
1269	TcI
1274	TcIII
1279	TcV
1281	TcI
1284	TcI
1286	TcIII
1288	TcI
1290	TcV
1293	TcIV
1294	TcI
1295	TcII
1298	TcI
1299	TcIV
1310	TcI
1318	TcI
1319	TcIII
1322	TcIV
1330	TcI
1331	TcI
1333	TcI
1339	TcVI
1350	TcI
1351	TcI
1353	TcI
1358	TcV
1362	TcIV
1363	TcI
1373	TcIV
1376	TcI
1378	TcIV
1394	TcII
1395	TcII
1398	TcIV
1399	TcIV
1405	TcII
1408	TcIII
1410	TcI
1415	TcII
1432	TcI
1433	TcI
1434	TcII
1436	TcII
1453	TcI
1458	TcI
1477	TcI
1482	TcI
1498	TcI
1499	TcI
1510	TcI
